,Store,Dept,Date,Weekly_Sales,IsHoliday
0,1,1,2010-02-05,24924.5,False
1,1,1,2010-02-12,46039.49,True
2,1,1,2010-02-19,41595.55,True
3,1,1,2010-02-26,19403.54,False
4,1,1,2010-03-05,21827.9,False
5,1,1,2010-03-12,21043.39,False
6,1,1,2010-03-19,22136.64,True
7,1,1,2010-03-26,26229.21,False
8,1,1,2010-04-02,57258.43,False
9,1,1,2010-04-09,42960.91,True
10,1,1,2010-04-16,17596.96,False
11,1,1,2010-04-23,16145.35,False
12,1,1,2010-04-30,16555.11,False
13,1,1,2010-05-07,17413.94,False
14,1,1,2010-05-14,18926.74,True
15,1,1,2010-05-21,14773.04,False
16,1,1,2010-05-28,15580.43,False
17,1,1,2010-06-04,17558.09,True
18,1,1,2010-06-11,16637.62,False
19,1,1,2010-06-18,16216.27,False
20,1,1,2010-06-25,16328.72,True
21,1,1,2010-07-02,16333.14,False
22,1,1,2010-07-09,17688.76,True
23,1,1,2010-07-16,17150.84,False
24,1,1,2010-07-23,15360.45,False
25,1,1,2010-07-30,15381.82,False
26,1,1,2010-08-06,17508.41,False
27,1,1,2010-08-13,15536.4,False
28,1,1,2010-08-20,15740.13,False
29,1,1,2010-08-27,15793.87,False
30,1,1,2010-09-03,16241.78,False
31,1,1,2010-09-10,18194.74,True
32,1,1,2010-09-17,19354.23,False
33,1,1,2010-09-24,18122.52,False
34,1,1,2010-10-01,20094.19,False
35,1,1,2010-10-08,23388.03,False
36,1,1,2010-10-15,26978.34,False
37,1,1,2010-10-22,25543.04,False
38,1,1,2010-10-29,38640.93,False
39,1,1,2010-11-05,34238.88,True
40,1,1,2010-11-12,19549.39,True
41,1,1,2010-11-19,19552.84,False
42,1,1,2010-11-26,18820.29,True
43,1,1,2010-12-03,22517.56,False
44,1,1,2010-12-10,31497.65,False
45,1,1,2010-12-17,44912.86,False
46,1,1,2010-12-24,55931.23,True
47,1,1,2010-12-31,19124.58,True
48,1,1,2011-01-07,15984.24,True
49,1,1,2011-01-14,17359.7,False
50,1,1,2011-01-21,17341.47,False
51,1,1,2011-01-28,18461.18,False
52,1,1,2011-02-04,21665.76,False
